pool,task_type,candidate_count,normalized_selected_gain,normalized_cross_fitted_gap,endpoint_count
Classical multiview,classification,4,0.6684707823738355,0.23639168625273885,3
Classical multiview,classification,8,1.2154678705843396,-0.0021321196851646004,3
Classical multiview,classification,16,1.288500407950239,0.030306860497132534,3
Classical multiview,classification,32,1.1995133462774967,0.0473000142887691,3
Classical multiview,regression,4,3.371180435326666,0.0,3
Classical multiview,regression,8,1.958247032588253,0.12017676046609345,3
Classical multiview,regression,16,1.96053022267963,0.008194270955100199,3
Classical multiview,regression,32,1.751048162388993,0.036492567887230536,3
Homogeneous Morgan,classification,4,0.9844612185785833,0.010382644892731333,3
Homogeneous Morgan,classification,8,0.893096400325374,-0.013121028406630401,3
Homogeneous Morgan,classification,16,0.8838069612173037,0.02742973883343693,3
Homogeneous Morgan,classification,32,0.8879828814601368,0.043321868775644166,3
Homogeneous Morgan,regression,4,1.0,0.0,3
Homogeneous Morgan,regression,8,0.9045078964895484,0.08282723227841363,3
Homogeneous Morgan,regression,16,0.9515465665373792,0.025710089962611034,3
Homogeneous Morgan,regression,32,0.9400986133793209,0.0409892467886979,3
Modern-augmented,classification,4,0.628375318039668,0.09184509325642747,3
Modern-augmented,classification,8,0.5390717713590033,0.1964621558809306,3
Modern-augmented,classification,16,1.1270989317661677,-0.0023984925012520988,3
Modern-augmented,classification,32,1.2191372248017067,0.027676135764559063,3
Modern-augmented,regression,4,2.2306181415101998,0.430100931036941,3
Modern-augmented,regression,8,1.8420971326924451,0.1715681315640747,3
Modern-augmented,regression,16,1.5973268303897405,0.12010732644838286,3
Modern-augmented,regression,32,1.7781291641601082,0.008132741217089366,3
