variant,policy,n_outer_units,n_endpoints,mean_normalized_regret,median_normalized_regret,endpoint_cluster_ci95_low,endpoint_cluster_ci95_high,top_selected_representation,top_selected_representation_rate
fingerprints_only,fixed_morgan_rf,135,9,0.29536438374714213,0.2574303336752858,0.163904770884065,0.43622975525783003,morgan512,1.0
fingerprints_only,one_se_stable,135,9,0.06868113248416369,0.0187484418356015,0.0319097577538168,0.11173759116536112,maccs,0.7407407407407407
fingerprints_only,risk_adjusted,135,9,0.06631379571861397,0.010426495122645,0.03265958239985246,0.10289559397069584,maccs,0.8
fingerprints_only,test_oracle,135,9,0.0,0.0,0.0,0.0,maccs,0.7925925925925926
fingerprints_only,validation_best,135,9,0.06358109216160078,0.010426495122645,0.03613543519912339,0.08917909036432832,maccs,0.7851851851851852
full_multiview,fixed_morgan_rf,135,9,0.3949451519792992,0.3275134791372008,0.25344920079326844,0.5445392516683525,morgan512,1.0
full_multiview,one_se_stable,135,9,0.07335216493308941,0.0369421311125357,0.04326779041085195,0.10403692089934953,multiview,0.4962962962962963
full_multiview,risk_adjusted,135,9,0.05431388454371072,0.0137566832417786,0.02767834187157614,0.08102865990317995,multiview,0.6666666666666666
full_multiview,test_oracle,135,9,0.0,0.0,0.0,0.0,multiview,0.6074074074074074
full_multiview,validation_best,135,9,0.04287374399119929,0.010729613733906,0.021361504878345268,0.06653486445588862,multiview,0.6222222222222222
morgan_only,fixed_morgan_rf,135,9,0.10760035716971293,0.0094031071136499,0.03974800469138181,0.19218148489271594,morgan512,1.0
morgan_only,one_se_stable,135,9,0.0895829687626826,0.0,0.03089454609099257,0.16797772462008176,morgan512,1.0
morgan_only,risk_adjusted,135,9,0.0846343323257779,0.0,0.027061470258972768,0.16576879216009568,morgan512,1.0
morgan_only,test_oracle,135,9,0.0,0.0,0.0,0.0,morgan512,1.0
morgan_only,validation_best,135,9,0.07823404639452089,0.0,0.019438972498267044,0.1697269872430804,morgan512,1.0
no_multiview_concat,fixed_morgan_rf,135,9,0.38189479803767695,0.3189718482252142,0.23935665033675754,0.531604945962021,morgan512,1.0
no_multiview_concat,one_se_stable,135,9,0.06883558650982922,0.0378378378378394,0.042260302706714145,0.0955509981393227,rdkit2d,0.6962962962962963
no_multiview_concat,risk_adjusted,135,9,0.05703799114462883,0.0165509448080773,0.03337646721443764,0.08014853287119778,rdkit2d,0.8148148148148148
no_multiview_concat,test_oracle,135,9,0.0,0.0,0.0,0.0,rdkit2d,0.6962962962962963
no_multiview_concat,validation_best,135,9,0.055593064222632944,0.0134994127532395,0.02590376059015227,0.08754074417008333,rdkit2d,0.7555555555555555
