endpoint,n,loeo_mae,constant_baseline_mae,high_regret_auc,risk_gate_threshold_from_other_endpoints,risk_gate_coverage,all_mean_regret,retained_mean_regret,risk_gate_delta
bace,60,0.12045179802615355,0.11681774071017893,0.6636661211129297,0.4200716845878136,0.31666666666666665,0.10928438413318539,0.04795602004775984,-0.06132836408542555
bbbp,60,0.11581656527220985,0.12090683944031115,0.5409999999999999,0.4222222222222222,0.48333333333333334,0.09581766890588793,0.07614809095971455,-0.019669577946173383
clintox,60,0.18600131171281772,0.19324421433013197,0.6588571428571428,0.4207885304659498,0.36666666666666664,0.24461993305477123,0.1539757838771244,-0.09064414917764682
esol,60,0.10751014766201789,0.12191838816442818,0.7244444444444444,0.44121863799283156,0.75,0.09566772796964335,0.07512437184358901,-0.020543356126054332
freesolv,60,0.1367007167597281,0.10860538858034549,0.12044653349001175,0.4222222222222222,0.4166666666666667,0.14800981792055193,0.21553678279370075,0.06752696487314883
lipo,60,0.10273352744633227,0.12125701003824994,0.4035087719298246,0.4444444444444444,0.8,0.05120058055445667,0.05807269414023306,0.006872113585776392
tdc_caco2_wang,60,0.06803917489825896,0.09411630070264501,,0.43236047107014847,0.7166666666666667,0.03945735274689199,0.03522999834890298,-0.0042273543979890055
tdc_hia_hou,60,0.14032162330434114,0.13654699297351017,0.4722222222222222,0.4189964157706093,0.3,0.19101328860652703,0.21879653057803664,0.02778324197150961
tdc_pgp_broccatelli,60,0.09915568404791138,0.09073835336505823,0.5287267080745341,0.4207885304659498,0.36666666666666664,0.12956098273566186,0.1458135288069143,0.016252546071252455
