pool_size,signal_correlation,n_outer_units,chance_adjusted_hit_mean,chance_adjusted_hit_ci95_low,chance_adjusted_hit_ci95_high,mrr_mean,mrr_ci95_low,mrr_ci95_high,fixed_normalized_regret_mean,fixed_normalized_regret_ci95_low,fixed_normalized_regret_ci95_high
4,0.0,135,0.0036740740740740757,-0.008712592592592591,0.015051851851851853,0.5210851851851852,0.5182691049382715,0.5238198765432098,0.2700568364115096,0.2071003217223423,0.33560808662582114
4,0.1,135,0.15792592592592594,0.14577777777777778,0.1710222222222222,0.5560839506172839,0.5526344444444443,0.5595298456790123,0.2373626158609012,0.18168837915737054,0.2923951337690686
4,0.25,135,0.39182222222222224,0.3713185185185185,0.41285925925925926,0.6054037037037037,0.5996961728395062,0.6116507098765431,0.19439905715363193,0.15069236428942195,0.23979513110860645
4,0.5,135,0.7387851851851851,0.7175111111111111,0.7597629629629629,0.7000024691358023,0.6852810802469136,0.7157851851851852,0.12744516853790927,0.09450156390332412,0.16085960525957135
4,0.75,135,0.9690666666666663,0.9624296296296296,0.9758237037037036,0.810083950617284,0.7887128703703704,0.8331890740740742,0.06756798869400257,0.04580716291086693,0.08996353216817775
4,1.0,135,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
8,0.0,135,-0.0005570370370370374,-0.007431111111111111,0.005345777777777769,0.33978590828924166,0.337963721340388,0.3416138134920635,0.29505391494681127,0.26115265836033114,0.32568533498995983
8,0.1,135,0.07249777777777779,0.06249422222222222,0.08152888888888889,0.36729848324514996,0.36351328395061727,0.37092913712522046,0.2549647926476524,0.22488639463126966,0.2818590785022763
8,0.25,135,0.19186962962962967,0.16759585185185183,0.21585837037037037,0.41059128747795415,0.4003547504409171,0.42080567019400356,0.203895594140585,0.17729897270505093,0.22817900152885756
8,0.5,135,0.3958874074074074,0.33543999999999996,0.4547437037037037,0.49501592592592597,0.4691222204585538,0.5196478606701941,0.1308286103586093,0.11294385255554723,0.14773044631926013
8,0.75,135,0.6311940740740742,0.540360888888889,0.7100325925925925,0.5960997354497356,0.5531644149029983,0.6341729400352735,0.07460496519360091,0.0635369145766724,0.0869666092213257
8,1.0,135,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
16,0.0,135,0.000815954415954383,-0.0008797720797721124,0.00229287749287746,0.21253296277796277,0.2109212631761243,0.21412102634042915,0.29961171322582575,0.25596226959030277,0.33848797961172
16,0.1,135,0.04218803418803415,0.035696410256410224,0.04743931623931621,0.2339082358176803,0.22993507568563123,0.23753623735832075,0.2558806763133855,0.21578532164898304,0.2900082788629278
16,0.25,135,0.10347122507122503,0.08549196581196578,0.12035601139601135,0.26948561313172426,0.2592599257044396,0.279027053151067,0.2046329268847154,0.1704199673793892,0.2327600322059541
16,0.5,135,0.23440683760683756,0.19113663817663815,0.2754876353276353,0.33844175698786816,0.3153220518123852,0.3610492725561476,0.14158001765431658,0.11928622505665208,0.15866953721434393
16,0.75,135,0.40912136752136746,0.3319375498575498,0.47736980056980055,0.4370616317427429,0.39372902196311915,0.4760545663256496,0.08934719414636023,0.07857525160391501,0.09732308324494944
16,1.0,135,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
32,0.0,135,-0.0020291187739463557,-0.003336909323116215,-0.00021455938697317506,0.12559723920290097,0.12486898504499516,0.1263359196733405,0.3129505067717542,0.2494371393678694,0.3679494227995213
32,0.1,135,0.026791315453384423,0.022377522349936146,0.030894508301404854,0.1469361814780548,0.14386437776384617,0.1497974246358485,0.2729332742598464,0.21587940043211748,0.32563458003794427
32,0.25,135,0.0743131545338442,0.059911111111111116,0.08623243933588759,0.17861104128086275,0.16887361298663442,0.1865166969437686,0.22206526382358638,0.17605108677595552,0.26275542810686825
32,0.5,135,0.1809471264367816,0.14687632183908048,0.20689083014048534,0.24964137805964665,0.2267250556605995,0.26689539871844653,0.15741923458662332,0.1289789549835171,0.18051931074602237
32,0.75,135,0.3565507024265645,0.29304398467432957,0.40969808429118765,0.3666696628950918,0.32369939777154294,0.4036374310826407,0.0967314231089565,0.08314165847097942,0.10817855555542558
32,1.0,135,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
